nazwa,www,adres,telefon,nip,krs,place_id,zrodlo,zrodlo_url
Transport i spedycja RRAS FORWARDING Gdańsk,https://www.rras.pl/,"Wały Piastowskie 1, 80-958 Gdańsk",58 351 41 59,,,ChIJu5yrA75z_UYRCMfdhj7l19U,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJu5yrA75z_UYRCMfdhj7l19U
JAS-FBG S.A. Spedycja Krajowa,,"Sąsiedzka 24, 80-298 Gdańsk",58 563 59 00,,,ChIJIXmpFhie_UYRpU6aN-I7w0w,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJIXmpFhie_UYRpU6aN-I7w0w
"WiseLog - Biuro Gdańsk - Spedycja, Logistyka, Transport",https://wiselog.eu/transport/transport-krajowy/firma-transportowa-gdansk/,"Szafarnia 11/lokal F8, 80-750 Gdańsk",780 613 555,,,ChIJhV9wzqJz_UYRs8TCegGnQTk,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJhV9wzqJz_UYRs8TCegGnQTk
Elltrans Sp. z o.o. Sp. K.,http://www.elltrans.pl/,"Spadochroniarzy 20, 80-298 Gdańsk",58 349 71 24,,,ChIJdYzXyNGf_UYRNw-7RLeV_rQ,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJdYzXyNGf_UYRNw-7RLeV_rQ
Transcar. Usługi transportowo - spedycyjne,https://www.transcar-gdansk.pl/,"aleja Grunwaldzka 487a, 80-236 Gdańsk",58 552 03 73,,,ChIJk6-igS11_UYR6KgnWpwbw_c,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJk6-igS11_UYR6KgnWpwbw_c
Omida VLS,https://omida.pl/,"aleja Grunwaldzka 472C, 80-309 Gdańsk",58 741 88 14,,,ChIJAZfJjml1_UYRG0wEh64e9gA,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJAZfJjml1_UYRG0wEh64e9gA
ANT Forwarding sp. z o.o.,,"Azymutalna 9, 80-298 Gdańsk",58 733 88 70,,,ChIJSfYPQCJ1_UYRyFomHkCqwuc,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJSfYPQCJ1_UYRyFomHkCqwuc
Sawa Logistics Sp. z o.o,https://www.sawalogistics.pl/o-nas/,"aleja Grunwaldzka 472d, 80-309 Gdańsk",666 593 992,,,ChIJUURXHkQUCiYR8AZ2PoGK6Ww,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJUURXHkQUCiYR8AZ2PoGK6Ww
Grand Spedycja Logistyka Międzynarodowa sp. z o.o.,https://grandtransport.pl/,"Cienista 16d, 80-046 Gdańsk",603 151 283,,,ChIJBzcBVaJz_UYRTDD8cdmsZcc,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJBzcBVaJz_UYRTDD8cdmsZcc
PEKO Spedycja | Twój opiekun importu i eksportu | transport międzynarodowy | spedycja międzynarodowa i krajowa,https://peko.pl/,"Aleja Niepodległości 761, 81-838 Sopot",58 323 88 33,,,ChIJiz2_xwBz_UYRDXtcd3GaxbE,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJiz2_xwBz_UYRDXtcd3GaxbE
Euro Logistics Ltd Sp. z o.o.,http://www.eurologisticsltd.com.pl/,"Jabłoniowa 20, 80-175 Gdańsk",58 342 42 01,,,ChIJmbFT1zx0_UYRFniGoqgtiMU,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJmbFT1zx0_UYRFniGoqgtiMU
PFC Logistics,https://pfc24.pl/oddzialy-pfc/spedycja-gdansk/?utm_source=google_maps&utm_medium=organic&utm_campaign=gmb,"Elbląska 130, 80-718 Gdańsk",58 776 40 82,,,ChIJT3peRQBz_UYRseIPkmuKcXk,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJT3peRQBz_UYRseIPkmuKcXk
Uni-logistics Sp. z o.o. Gdańsk,http://unilog.eu/,"Elbląska 110b, 80-718 Gdańsk",58 500 48 41,,,ChIJM0f6YS9z_UYRcnNeTqZARwk,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJM0f6YS9z_UYRcnNeTqZARwk
