nazwa,suma,www,telefon,adres,trafienia,dowody,fakt_liczba_pracownikow,fakt_instrukcja_dokumentow_dla_przewoznikow,fakt_adres_do_dokumentow,fakt_rekrutacja_dokumenty,fakt_liczba_zlecen_rocznie,fakt_uslugi_celne,fakt_liczba_oddzialow,fakt_systemy_it,fakt_automatyzacja_dokumentow,zaczepka,uwagi,zrodlo,zrodlo_url
PFC Logistics,30.0,https://pfc24.pl/oddzialy-pfc/spedycja-gdansk/?utm_source=google_maps&utm_medium=organic&utm_campaign=gmb,58 776 40 82,"Elbląska 130, 80-718 Gdańsk",osobny_adres_do_dokumentow +10; obsluga_celna +10; kilka_oddzialow +10,"osobny_adres_do_dokumentow: „Księgowość ksiegowosc@pfc24.pl tel: +48 502 124 509 desk: +48 58 600 81 04” (https://pfc24.pl/kontakt/) | obsluga_celna: „Obsługa celna (AEO) Własna agencja celna AEO w Gdyni (obok, 22 km). Odprawy przy DCT Baltic Hub, T1/T2, EORI, EUR.1, Intrastat.” (https://pfc24.pl/oddzialy-pfc/spedycja-gdansk/) | kilka_oddzialow: „Nasza rozbudowana sieć 13 oddziałów w 11 lokalizacjach gwarantuje błyskawiczną reakcję i sprawną obsługę każdego zlecenia transportowego.” (https://pfc24.pl/)",140.0,,ksiegowosc@pfc24.pl,,,True,13.0,,,,,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJT3peRQBz_UYRseIPkmuKcXk
PEKO Spedycja | Twój opiekun importu i eksportu | transport międzynarodowy | spedycja międzynarodowa i krajowa,20.0,https://peko.pl/,58 323 88 33,"Aleja Niepodległości 761, 81-838 Sopot",obsluga_celna +10; kilka_oddzialow +10,obsluga_celna: „Posiadamy własną agencję celną z ponad 30-letnim doświadczeniem i ponad 35 ekspertami w 6 miastach Polski” (https://www.peko.pl/) | kilka_oddzialow: „PEKO Agencja Celna posiada dedykowane 4 oddziały: Drogowe i Morskie w każdym z tych miast” (https://www.peko.pl/),,,,,,True,4.0,,,,,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJiz2_xwBz_UYRDXtcd3GaxbE
Uni-logistics Sp. z o.o. Gdańsk,20.0,http://unilog.eu/,58 500 48 41,"Elbląska 110b, 80-718 Gdańsk",obsluga_celna +10; kilka_oddzialow +10,"obsluga_celna: „Obsługa celna Import, eksport, procedury celne i doradztwo. Własna Agencja Celna z certyfikatem AEO.” (https://unilog.eu/usluga/) | kilka_oddzialow: „Siedziba główna: Gdynia Oddziały Operacyjne & Handlowe: Warszawa | Poznań | Wrocław | Tychy | Biała Podlaska | Kalisz Centra Magazynowe: Gdańsk | Pruszków” (https://unilog.eu/o-nas/)",,,,,,True,8.0,,,,,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJM0f6YS9z_UYRcnNeTqZARwk
"WiseLog - Biuro Gdańsk - Spedycja, Logistyka, Transport",10.0,https://wiselog.eu/transport/transport-krajowy/firma-transportowa-gdansk/,780 613 555,"Szafarnia 11/lokal F8, 80-750 Gdańsk",obsluga_celna +10,"obsluga_celna: „Od planowania i koordynacji transportu, przez magazynowanie i obsługę celno-skarbową, aż po doradztwo i wsparcie w zakresie optymalizacji łańcuchów dostaw.” (https://wiselog.eu/uslugi-spedycyjne/)",,,,,,True,,,,,,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJhV9wzqJz_UYRs8TCegGnQTk
Elltrans Sp. z o.o. Sp. K.,10.0,http://www.elltrans.pl/,58 349 71 24,"Spadochroniarzy 20, 80-298 Gdańsk",osobny_adres_do_dokumentow +10,osobny_adres_do_dokumentow: „Księgowość: +48 606 258 256 accounting@elltrans.pl” (https://www.elltrans.pl/),,,accounting@elltrans.pl,,,,,,,,,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJdYzXyNGf_UYRNw-7RLeV_rQ
Transport i spedycja RRAS FORWARDING Gdańsk,0.0,https://www.rras.pl/,58 351 41 59,"Wały Piastowskie 1, 80-958 Gdańsk",,,,,,,,,,,,,,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJu5yrA75z_UYRCMfdhj7l19U
JAS-FBG S.A. Spedycja Krajowa,0.0,,58 563 59 00,"Sąsiedzka 24, 80-298 Gdańsk",,,,,,,,,,,,,brak www,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJIXmpFhie_UYRpU6aN-I7w0w
Transcar. Usługi transportowo - spedycyjne,0.0,https://www.transcar-gdansk.pl/,58 552 03 73,"aleja Grunwaldzka 487a, 80-236 Gdańsk",,,,,,,,,1.0,,,,,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJk6-igS11_UYR6KgnWpwbw_c
ANT Forwarding sp. z o.o.,0.0,,58 733 88 70,"Azymutalna 9, 80-298 Gdańsk",,,,,,,,,,,,,brak www,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJSfYPQCJ1_UYRyFomHkCqwuc
Sawa Logistics Sp. z o.o,0.0,https://www.sawalogistics.pl/o-nas/,666 593 992,"aleja Grunwaldzka 472d, 80-309 Gdańsk",,,,,,,,,,,,,,szukaj_miejsca:spedycja drogowa|Gdańsk,https://www.google.com/maps/place/?q=place_id:ChIJUURXHkQUCiYR8AZ2PoGK6Ww
